Game Hit,Hit Created At,Hit ID,ExitSpeed (KMH),Angle,Direction,SpinRate,Distance (Meters),Spin Direction,ContactPositionX (CM),ContactPositionY (CM),Left Hand Total Spin,Left Hand Spin Direction,Right Hand Total Spin,Right Hand Spin Direction,Hitter First Name,,Device Serial Number,Flagged
129,01-18-2026 03:19,1768706380,138.1,12,-2,0,57,1:20,0,0,571.00000,1:20,571.00000,1:20,山根,,MTD-22119CB2427,FALSE
128,01-18-2026 03:18,1768706339,121.1,14,-35,0,53,9:12,0,0,2905.00000,9:12,2905.00000,9:12,山根,,MTD-22119CB2427,FALSE
127,01-18-2026 03:18,1768706303,139.9,22,-3,0,82,12:30,0,0,1259.00000,12:30,1259.00000,12:30,山根,,MTD-22119CB2427,FALSE
126,01-18-2026 03:17,1768706224,117.1,41,-18,0,78,11:34,0,0,3230.00000,11:34,3230.00000,11:34,山根,,MTD-22119CB2427,FALSE
125,01-18-2026 03:16,1768706205,121.7,35,-30,0,81,10:50,0,0,582.00000,10:50,582.00000,10:50,山根,,MTD-22119CB2427,FALSE
124,01-18-2026 03:15,1768706120,132.1,7,-2,0,40,2:46,0,0,1886.00000,2:46,1886.00000,2:46,小室,,MTD-22119CB2427,FALSE
123,01-18-2026 03:15,1768706104,92.3,16,-19,0,37,10:20,0,0,2644.00000,10:20,2644.00000,10:20,小室,,MTD-22119CB2427,FALSE
122,01-18-2026 03:14,1768706095,115.0,4,-1,0,25,3:34,0,0,3066.00000,3:34,3066.00000,3:34,小室,,MTD-22119CB2427,FALSE
121,01-18-2026 03:14,1768706086,125.5,25,-14,0,75,11:30,0,0,3430.00000,11:30,3430.00000,11:30,小室,,MTD-22119CB2427,FALSE
120,01-18-2026 03:14,1768706078,128.7,8,-15,0,43,8:54,0,0,918.00000,8:54,918.00000,8:54,小室,,MTD-22119CB2427,FALSE
119,01-18-2026 03:14,1768706069,121.4,43,-29,0,83,11:6,0,0,3151.00000,11:6,3151.00000,11:6,小室,,MTD-22119CB2427,FALSE
118,01-18-2026 03:13,1768706037,101.3,24,0,0,54,12:42,0,0,2554.00000,12:42,2554.00000,12:42,小室,,MTD-22119CB2427,FALSE
117,01-18-2026 03:12,1768705938,140.2,17,0,0,72,1:4,0,0,1478.00000,1:4,1478.00000,1:4,尾形,,MTD-22119CB2427,FALSE
116,01-18-2026 03:11,1768705873,141.6,18,-3,0,76,12:36,0,0,627.00000,12:36,627.00000,12:36,尾形,,MTD-22119CB2427,FALSE
115,01-18-2026 03:09,1768705798,137.8,15,6,0,69,1:36,0,0,1040.00000,1:36,1040.00000,1:36,黒須,,MTD-22119CB2427,FALSE
114,01-18-2026 03:09,1768705780,117.0,32,11,0,75,1:0,0,0,1251.00000,1:0,1251.00000,1:0,黒須,,MTD-22119CB2427,FALSE
113,01-18-2026 03:09,1768705771,136.0,19,13,0,75,1:34,0,0,2181.00000,1:34,2181.00000,1:34,黒須,,MTD-22119CB2427,FALSE
112,01-18-2026 03:08,1768705735,137.3,14,7,0,61,1:48,0,0,1271.00000,1:48,1271.00000,1:48,黒須,,MTD-22119CB2427,FALSE
111,01-18-2026 03:08,1768705725,126.7,14,18,0,56,2:4,0,0,727.00000,2:4,727.00000,2:4,黒須,,MTD-22119CB2427,FALSE
110,01-18-2026 03:08,1768705716,123.4,46,-7,0,83,12:4,0,0,2775.00000,12:4,2775.00000,12:4,黒須,,MTD-22119CB2427,FALSE
109,01-18-2026 03:08,1768705707,134.8,0,23,0,17,3:10,0,0,1562.00000,3:10,1562.00000,3:10,黒須,,MTD-22119CB2427,FALSE
108,01-18-2026 03:08,1768705690,108.7,53,9,0,66,12:32,0,0,902.00000,12:32,902.00000,12:32,黒須,,MTD-22119CB2427,FALSE
107,01-18-2026 03:07,1768705665,125.2,48,0,0,84,12:20,0,0,771.00000,12:20,771.00000,12:20,黒須,,MTD-22119CB2427,FALSE
106,01-18-2026 03:07,1768705657,128.9,19,8,0,67,1:28,0,0,3092.00000,1:28,3092.00000,1:28,黒須,,MTD-22119CB2427,FALSE
105,01-18-2026 03:07,1768705630,137.4,12,-27,0,57,9:10,0,0,1102.00000,9:10,1102.00000,9:10,金子,,MTD-22119CB2427,FALSE
104,01-18-2026 03:06,1768705590,132.2,23,-2,0,78,12:34,0,0,2399.00000,12:34,2399.00000,12:34,金子,,MTD-22119CB2427,FALSE
103,01-18-2026 03:05,1768705555,124.1,23,10,0,71,1:18,0,0,2468.00000,1:18,2468.00000,1:18,金子,,MTD-22119CB2427,FALSE
102,01-18-2026 03:05,1768705546,116.0,13,-26,0,48,9:22,0,0,3400.00000,9:22,3400.00000,9:22,金子,,MTD-22119CB2427,FALSE
101,01-18-2026 03:05,1768705537,150.7,0,-36,0,18,7:58,0,0,3066.00000,7:58,3066.00000,7:58,金子,,MTD-22119CB2427,FALSE
100,01-18-2026 03:05,1768705529,139.4,8,-19,0,45,8:40,0,0,2914.00000,8:40,2914.00000,8:40,金子,,MTD-22119CB2427,FALSE
99,01-18-2026 03:05,1768705504,99.3,16,-7,0,40,12:16,0,0,1785.00000,12:16,1785.00000,12:16,金子,,MTD-22119CB2427,FALSE
98,01-18-2026 03:04,1768705496,131.7,11,8,0,49,2:8,0,0,2749.00000,2:8,2749.00000,2:8,金子,,MTD-22119CB2427,FALSE
97,01-18-2026 03:04,1768705487,113.5,22,4,0,63,1:4,0,0,2426.00000,1:4,2426.00000,1:4,金子,,MTD-22119CB2427,FALSE
96,01-18-2026 02:52,1768704726,152.9,26,13,0,101,1:16,0,0,3045.00000,1:16,3045.00000,1:16,佐藤寛,,MTD-22119CB2427,FALSE
95,01-18-2026 02:51,1768704718,132.7,16,3,0,67,1:22,0,0,1372.00000,1:22,1372.00000,1:22,佐藤寛,,MTD-22119CB2427,FALSE
94,01-18-2026 02:47,1768704463,144.7,-10,-10,0,6,6:6,0,0,3270.00000,6:6,3270.00000,6:6,髙橋海,,MTD-22119CB2427,FALSE
93,01-18-2026 02:47,1768704455,157.0,16,-3,0,84,12:48,0,0,2504.00000,12:48,2504.00000,12:48,髙橋海,,MTD-22119CB2427,FALSE
92,01-18-2026 02:47,1768704439,142.1,30,1,0,98,12:36,0,0,943.00000,12:36,943.00000,12:36,髙橋海,,MTD-22119CB2427,FALSE
91,01-18-2026 02:46,1768704408,152.5,11,-22,0,64,9:14,0,0,2117.00000,9:14,2117.00000,9:14,髙橋海,,MTD-22119CB2427,FALSE
90,01-18-2026 02:46,1768704399,139.8,25,-9,0,88,11:58,0,0,1044.00000,11:58,1044.00000,11:58,髙橋海,,MTD-22119CB2427,FALSE
89,01-18-2026 02:46,1768704375,138.8,37,-17,0,99,11:32,0,0,2632.00000,11:32,2632.00000,11:32,髙橋海,,MTD-22119CB2427,FALSE
88,01-18-2026 02:45,1768704359,136.1,24,20,0,83,1:32,0,0,1973.00000,1:32,1973.00000,1:32,髙橋海,,MTD-22119CB2427,FALSE
87,01-18-2026 02:45,1768704343,149.8,36,-33,0,108,10:42,0,0,1421.00000,10:42,1421.00000,10:42,髙橋海,,MTD-22119CB2427,FALSE
86,01-18-2026 02:45,1768704335,151.0,-2,-16,0,13,6:54,0,0,2016.00000,6:54,2016.00000,6:54,髙橋海,,MTD-22119CB2427,FALSE
85,01-18-2026 02:45,1768704327,133.4,13,-21,0,56,9:34,0,0,3162.00000,9:34,3162.00000,9:34,髙橋海,,MTD-22119CB2427,FALSE
84,01-18-2026 02:45,1768704320,154.8,4,-24,0,36,8:6,0,0,3279.00000,8:6,3279.00000,8:6,髙橋海,,MTD-22119CB2427,FALSE
