Game Hit,Hit Created At,Hit ID,ExitSpeed (KMH),Angle,Direction,SpinRate,Distance (Meters),Spin Direction,ContactPositionX (CM),ContactPositionY (CM),Left Hand Total Spin,Left Hand Spin Direction,Right Hand Total Spin,Right Hand Spin Direction,Hitter First Name,Hitter Last Name,Device Serial Number,Flagged
289,02-10-2026 03:18,1770693529,145.9,16,0,0,74,1:14,0,0,1574.00000,1:14,1574.00000,1:14,德丸,Yuu,MTD-22119CB2427,FALSE
288,02-10-2026 03:18,1770693511,131.8,36,-23,0,91,11:10,0,0,589.00000,11:10,589.00000,11:10,德丸,Yuu,MTD-22119CB2427,FALSE
287,02-10-2026 03:18,1770693502,137.4,28,24,0,91,1:28,0,0,2388.00000,1:28,2388.00000,1:28,德丸,Yuu,MTD-22119CB2427,FALSE
286,02-10-2026 03:18,1770693484,141.1,6,41,0,38,2:38,0,0,811.00000,2:38,811.00000,2:38,德丸,Yuu,MTD-22119CB2427,FALSE
285,02-10-2026 03:17,1770693475,142.9,27,20,0,93,1:26,0,0,1557.00000,1:26,1557.00000,1:26,德丸,Yuu,MTD-22119CB2427,FALSE
284,02-10-2026 03:17,1770693458,154.5,27,28,0,104,1:36,0,0,2488.00000,1:36,2488.00000,1:36,德丸,Yuu,MTD-22119CB2427,FALSE
283,02-10-2026 03:17,1770693448,130.9,31,-23,0,89,11:2,0,0,2954.00000,11:2,2954.00000,11:2,德丸,Yuu,MTD-22119CB2427,FALSE
282,02-10-2026 03:17,1770693440,135.1,37,4,0,95,12:36,0,0,2053.00000,12:36,2053.00000,12:36,德丸,Yuu,MTD-22119CB2427,FALSE
281,02-10-2026 03:16,1770693415,144.6,41,-8,0,104,12:0,0,0,1886.00000,12:0,1886.00000,12:0,德丸,Yuu,MTD-22119CB2427,FALSE
280,02-10-2026 03:16,1770693406,145.9,26,33,0,95,1:42,0,0,1192.00000,1:42,1192.00000,1:42,德丸,Yuu,MTD-22119CB2427,FALSE
279,02-10-2026 03:16,1770693383,143.4,30,-5,0,98,12:12,0,0,1759.00000,12:12,1759.00000,12:12,德丸,Yuu,MTD-22119CB2427,FALSE
278,02-10-2026 03:16,1770693375,136.7,28,29,0,91,1:36,0,0,2176.00000,1:36,2176.00000,1:36,德丸,Yuu,MTD-22119CB2427,FALSE
277,02-10-2026 03:16,1770693367,131.0,35,7,0,91,12:44,0,0,1239.00000,12:44,1239.00000,12:44,德丸,Yuu,MTD-22119CB2427,FALSE
276,02-10-2026 03:15,1770693359,131.5,32,7,0,89,12:50,0,0,1842.00000,12:50,1842.00000,12:50,德丸,Yuu,MTD-22119CB2427,FALSE
275,02-10-2026 03:15,1770693351,133.7,29,2,0,88,12:40,0,0,1917.00000,12:40,1917.00000,12:40,德丸,Yuu,MTD-22119CB2427,FALSE
274,02-10-2026 03:15,1770693312,160.4,31,-29,0,115,10:42,0,0,2717.00000,10:42,2717.00000,10:42,寺尾,Unknown,MTD-22119CB2427,FALSE
273,02-10-2026 03:15,1770693302,148.4,21,-11,0,87,11:42,0,0,1872.00000,11:42,1872.00000,11:42,寺尾,Unknown,MTD-22119CB2427,FALSE
272,02-10-2026 03:14,1770693285,154.0,3,-27,0,33,8:2,0,0,2774.00000,8:2,2774.00000,8:2,寺尾,Unknown,MTD-22119CB2427,FALSE
271,02-10-2026 03:14,1770693275,138.5,19,19,0,75,1:44,0,0,2688.00000,1:44,2688.00000,1:44,寺尾,Unknown,MTD-22119CB2427,FALSE
270,02-10-2026 03:14,1770693265,160.4,25,-35,0,107,10:4,0,0,3414.00000,10:4,3414.00000,10:4,寺尾,Unknown,MTD-22119CB2427,FALSE
269,02-10-2026 03:14,1770693256,144.6,13,6,0,64,1:48,0,0,1063.00000,1:48,1063.00000,1:48,寺尾,Unknown,MTD-22119CB2427,FALSE
268,02-10-2026 03:13,1770693238,154.3,3,-4,0,31,4:30,0,0,2242.00000,4:30,2242.00000,4:30,寺尾,Unknown,MTD-22119CB2427,FALSE
267,02-10-2026 03:13,1770693229,150.1,0,-2,0,16,4:54,0,0,3423.00000,4:54,3423.00000,4:54,寺尾,Unknown,MTD-22119CB2427,FALSE
266,02-10-2026 03:13,1770693202,138.6,10,20,0,52,2:24,0,0,2234.00000,2:24,2234.00000,2:24,寺尾,Unknown,MTD-22119CB2427,FALSE
265,02-10-2026 03:13,1770693192,131.7,7,1,0,42,2:36,0,0,2362.00000,2:36,2362.00000,2:36,寺尾,Unknown,MTD-22119CB2427,FALSE
264,02-10-2026 03:12,1770693172,128.0,28,-12,0,82,11:44,0,0,2336.00000,11:44,2336.00000,11:44,寺尾,Unknown,MTD-22119CB2427,FALSE
263,02-10-2026 03:12,1770693164,137.8,7,-29,0,42,8:30,0,0,3399.00000,8:30,3399.00000,8:30,寺尾,Unknown,MTD-22119CB2427,FALSE
262,02-10-2026 03:12,1770693155,130.1,28,8,0,86,12:58,0,0,1768.00000,12:58,1768.00000,12:58,寺尾,Unknown,MTD-22119CB2427,FALSE
261,02-10-2026 03:12,1770693146,158.0,34,-29,0,115,10:50,0,0,2086.00000,10:50,2086.00000,10:50,寺尾,Unknown,MTD-22119CB2427,FALSE
260,02-10-2026 03:12,1770693130,130.0,-1,-29,0,14,7:42,0,0,1861.00000,7:42,1861.00000,7:42,寺尾,Unknown,MTD-22119CB2427,FALSE
259,02-10-2026 03:11,1770693107,142.9,37,32,0,102,1:22,0,0,770.00000,1:22,770.00000,1:22,壽田,Kenta,MTD-22119CB2427,FALSE
258,02-10-2026 03:11,1770693099,140.9,7,26,0,43,2:34,0,0,2768.00000,2:34,2768.00000,2:34,壽田,Kenta,MTD-22119CB2427,FALSE
257,02-10-2026 03:10,1770693054,143.7,16,27,0,72,2:4,0,0,2004.00000,2:4,2004.00000,2:4,壽田,Kenta,MTD-22119CB2427,FALSE
256,02-10-2026 03:10,1770693035,129.0,29,17,0,83,1:16,0,0,2280.00000,1:16,2280.00000,1:16,壽田,Kenta,MTD-22119CB2427,FALSE
255,02-10-2026 03:10,1770693026,142.3,23,1,0,87,12:50,0,0,922.00000,12:50,922.00000,12:50,壽田,Kenta,MTD-22119CB2427,FALSE
254,02-10-2026 03:10,1770693017,143.7,8,30,0,46,2:32,0,0,2247.00000,2:32,2247.00000,2:32,壽田,Kenta,MTD-22119CB2427,FALSE
253,02-10-2026 03:10,1770693008,131.6,38,7,0,92,12:40,0,0,3069.00000,12:40,3069.00000,12:40,壽田,Kenta,MTD-22119CB2427,FALSE
252,02-10-2026 03:10,1770693000,132.6,19,15,0,72,1:38,0,0,3322.00000,1:38,3322.00000,1:38,壽田,Kenta,MTD-22119CB2427,FALSE
251,02-10-2026 03:09,1770692990,132.6,18,21,0,68,1:52,0,0,3236.00000,1:52,3236.00000,1:52,壽田,Kenta,MTD-22119CB2427,FALSE
250,02-10-2026 03:09,1770692980,141.9,16,28,0,70,2:4,0,0,2261.00000,2:4,2261.00000,2:4,壽田,Kenta,MTD-22119CB2427,FALSE
249,02-10-2026 03:09,1770692963,134.2,39,14,0,94,12:54,0,0,2214.00000,12:54,2214.00000,12:54,壽田,Kenta,MTD-22119CB2427,FALSE
248,02-10-2026 03:09,1770692954,116.5,20,18,0,59,1:40,0,0,3430.00000,1:40,3430.00000,1:40,壽田,Kenta,MTD-22119CB2427,FALSE
247,02-10-2026 03:08,1770692936,145.2,21,7,0,85,1:14,0,0,1384.00000,1:14,1384.00000,1:14,壽田,Kenta,MTD-22119CB2427,FALSE
246,02-10-2026 03:08,1770692926,137.1,23,16,0,81,1:28,0,0,1465.00000,1:28,1465.00000,1:28,壽田,Kenta,MTD-22119CB2427,FALSE
245,02-10-2026 03:08,1770692918,133.4,21,31,0,76,1:54,0,0,1671.00000,1:54,1671.00000,1:54,壽田,Kenta,MTD-22119CB2427,FALSE
244,02-10-2026 03:08,1770692910,121.8,48,-10,0,80,11:56,0,0,3366.00000,11:56,3366.00000,11:56,壽田,Kenta,MTD-22119CB2427,FALSE
243,02-10-2026 03:08,1770692903,125.1,33,7,0,83,12:50,0,0,829.00000,12:50,829.00000,12:50,壽田,Kenta,MTD-22119CB2427,FALSE
242,02-10-2026 03:05,1770692757,154.5,8,22,0,53,2:30,0,0,915.00000,2:30,915.00000,2:30,福元,Kansei,MTD-22119CB2427,FALSE
241,02-10-2026 03:05,1770692748,124.5,31,-27,0,80,10:46,0,0,1142.00000,10:46,1142.00000,10:46,福元,Kansei,MTD-22119CB2427,FALSE
240,02-10-2026 03:05,1770692739,144.0,12,9,0,63,2:0,0,0,774.00000,2:0,774.00000,2:0,福元,Kansei,MTD-22119CB2427,FALSE
239,02-10-2026 03:05,1770692717,144.1,0,-9,0,17,6:2,0,0,2602.00000,6:2,2602.00000,6:2,福元,Kansei,MTD-22119CB2427,FALSE
238,02-10-2026 03:04,1770692689,139.4,19,18,0,78,1:44,0,0,1805.00000,1:44,1805.00000,1:44,福元,Kansei,MTD-22119CB2427,FALSE
237,02-10-2026 03:04,1770692681,148.5,15,2,0,74,1:24,0,0,1163.00000,1:24,1163.00000,1:24,福元,Kansei,MTD-22119CB2427,FALSE
236,02-10-2026 03:04,1770692672,150.1,42,8,0,109,12:38,0,0,1913.00000,12:38,1913.00000,12:38,福元,Kansei,MTD-22119CB2427,FALSE
235,02-10-2026 03:04,1770692653,109.0,52,4,0,66,12:24,0,0,647.00000,12:24,647.00000,12:24,福元,Kansei,MTD-22119CB2427,FALSE
234,02-10-2026 03:04,1770692645,134.8,17,-3,0,69,12:46,0,0,1708.00000,12:46,1708.00000,12:46,福元,Kansei,MTD-22119CB2427,FALSE
233,02-10-2026 03:03,1770692636,124.7,39,3,0,86,12:32,0,0,2703.00000,12:32,2703.00000,12:32,福元,Kansei,MTD-22119CB2427,FALSE
232,02-10-2026 03:03,1770692627,139.0,22,5,0,83,1:6,0,0,1405.00000,1:6,1405.00000,1:6,福元,Kansei,MTD-22119CB2427,FALSE
231,02-10-2026 03:03,1770692619,121.5,48,0,0,80,12:20,0,0,2093.00000,12:20,2093.00000,12:20,福元,Kansei,MTD-22119CB2427,FALSE
230,02-10-2026 03:02,1770692578,117.7,32,18,0,75,1:12,0,0,1834.00000,1:12,1834.00000,1:12,金子,Yuu,MTD-22119CB2427,FALSE
229,02-10-2026 03:02,1770692569,135.1,30,-26,0,90,10:48,0,0,865.00000,10:48,865.00000,10:48,金子,Yuu,MTD-22119CB2427,FALSE
228,02-10-2026 03:02,1770692562,113.6,16,19,0,53,1:56,0,0,2484.00000,1:56,2484.00000,1:56,金子,Yuu,MTD-22119CB2427,FALSE
227,02-10-2026 03:02,1770692553,146.5,8,-1,0,48,2:30,0,0,958.00000,2:30,958.00000,2:30,金子,Yuu,MTD-22119CB2427,FALSE
226,02-10-2026 03:02,1770692536,111.0,38,-2,0,72,12:16,0,0,1404.00000,12:16,1404.00000,12:16,金子,Yuu,MTD-22119CB2427,FALSE
225,02-10-2026 03:02,1770692528,135.6,20,-29,0,78,9:58,0,0,3274.00000,9:58,3274.00000,9:58,金子,Yuu,MTD-22119CB2427,FALSE
224,02-10-2026 03:02,1770692520,131.2,15,-9,0,63,11:48,0,0,2107.00000,11:48,2107.00000,11:48,金子,Yuu,MTD-22119CB2427,FALSE
223,02-10-2026 03:01,1770692511,115.2,3,-29,0,21,8:4,0,0,3203.00000,8:4,3203.00000,8:4,金子,Yuu,MTD-22119CB2427,FALSE
